MusteriKodu;MusteriBolge1;MusteriBolge2;MusteriBolge3;MusteriBolge4;SatisKanali;lisansNo;SatisHacmi;DiageoSatisHacmi;RutAdi;RutgrupKod;SatisTemsilcisi;StTakipKod;SatisSefi;SonGuncellenmeZamani;DDegeri;RDegeri;HDegeri;BiletEtkinlik;OrtalamaHarcamaTutari;KuverSayisi;IsbirligiDuzeyi;HerseyDahil;KisMevsimi;OtelTipi;YatakSayisi;YillikMisafir;MusteriUnvan;MusteriTabelaAdi;MusteriCesidi;Adres;lat;lng;MusteriProfili;MapProfileScore;MapPopulationScore;Mapin Segment;not;username;Url detay; url
951164;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;KADIKÖY;TRADITIONAL;34289062Aİ;S3;D4;Presell On İst.Tra Bostancı Bölgesi;2817;Mehmet Yaşar Tezcan;8228;Erkan Çoban;;;R1;;Etkinlik Yok;1.000 -1.999 TL;100-199;Yüksek;;;;;;SANT GIDA TURİZM SAN VE TİC. A.Ş;TİKE KEBAP;Kebap;Suadiye mah . Plaj yolu sokak no :18/2/3 KADIKOY ISTANBUL;40,95670020;29,08026709;AB;91,474;88,8875;R1-A;;tikesuadiye;var;https://maps.app.goo.gl/CcihyWEfVB9BXUWJA
100000838;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;ATAŞEHİR;MODERN;34392689Aİ;S4;D4;Presell On İst.Mod Ataşehir Bölgesi;2819;Volkan Barol;8230;Tayfun Öncel;;D2;;;Etkinlik Yok;0-499 TL;100-199;Düşük;;;;;;DUMAN ÖZEL SAĞLIK TESİSLERİ VE TTURZİM HİZM LTD ŞTİ;THE GALLİARD METROPOL;Fine Dining (D.Mutf-Şar.Evi);Ataşehir Atatürk, Ertuğrul Gazi Sk., 34758 Ataşehir/İstanbul;40,9936105;29,120838;AB;91,4593;76,4879;D2-A;;thegalliard;var;https://maps.google.com/?cid=5256596410047275052
874254;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;KADIKÖY;TRADITIONAL;34286323Aİ;S3;D4;Presell On İst.Tra Bostancı Bölgesi;2817;Mehmet Yaşar Tezcan;8228;Erkan Çoban;;;R1;;Etkinlik Yok;1.000 -1.999 TL;200-399;Orta;;;;;;GÜNALAN TUR.VE INS.GIDA SAN.TIC.LTD.STI;EFTELYA BALIK;Balık;SUADİYE MH KAZIM ÖZALP SK. NO:60/2  KADIKOY ISTANBUL;40,9591732;29,0727477;AB;91,4455;90,0311;R1-A;;eftalyarestaurant;var;https://maps.google.com/?cid=7011235800100087378
949778;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;KADIKÖY;TRADITIONAL;34289012Aİ;S3;D4;Presell On İst.Tra Kadıköy Bölgesi;2816;Bertan Acabay;8229;Erkan Çoban;;;R1;;Etkinlik Yok;500-999 TL;100-199;Orta;;;;;;MAPI GIDA VE  RESTAURANT SAN.TİC.LTD.ŞTİ.;ANILAR KOŞUYOLU;Yeni Nesil Meyhane;KOŞUYOLU MH.MUHİTTİN ÜSTÜNDAĞ CD.NO:81/1 KADIKOY  STANBUL;41,0099008;29,0409006;AB;91,3823;89,1559;R1-A;;ajdakosuyolu;var;https://maps.google.com/?cid=15267346186097830906
888230;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;KADIKÖY;TRADITIONAL;34286104Aİ;S2;D4;Presell On İst.Tra Kadıköy Bölgesi;2816;Bertan Acabay;8229;Erkan Çoban;;;R1;;Etkinlik Yok;500-999 TL;200-399;Orta;;;;;;ACIBADEM HUKUKÇULAR VE İDARECİLER SİT.ÇEVRE KORUMA,GÜZ.VE YARDIMLAŞMA DERNEĞİ (Müstacir: BİKE RESTAURANT GIDA EĞLENCE GÜZELLİK MERKEZİ TURZ.TAAH.TİC.LTD.ŞTİ);MYLOS;Balık;ACIBADEM CADDESİ HUKUKÇULAR SİTESİ ÇARŞI BLOK NO: 9 KADIKOY ISTANBUL;41,0055216;29,046431;AB;91,3605;91,2184;R1-A;;mylosayvalikcunda;var;https://maps.google.com/?cid=14550220461211615488
700110;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;KADIKÖY;TRADITIONAL;34289632Aİ;S1;D3;Presell On İst.Tra Kadıköy Bölgesi;2816;Bertan Acabay;8229;Erkan Çoban;;;R1;;Etkinlik Yok;500-999 TL;400+;Yüksek;;;;;;BEDRİ USTA KEBAP İŞLETMELERİ A.Ş ;BEDRİ USTA KALAMIŞ ;Kebap;FENERBAHÇE MAH. M.NURETTİN SELÇUK CAD. APT. N.52 ADIKÖY İSTANBUL;40,9800302;29,039361;A+;91,3604;95,2518;R1-A;;bedriustakebap;var;https://maps.google.com/?cid=943340493747664851
969514;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;KADIKÖY;MODERN;34392627Aİ;S3;D4;Presell On Asya Kayıkçı İst.Tra Atşhr-Adalar Bölge;2822;Ramazan İlhami Kılınç;8231;Erkan Çoban;;D1;R0;H0;Etkinlik Var;500-999 TL;100-199;Orta;;;;;;DURU TİYATRO VE FİLM YAPIM DEKORASYON LTD.ŞTİ DURU ATAŞEHİR;DURU TİYATRO;Tekne-Event Hall-Catering;BARBAROS MH.AHLAT SK.NO:2/C34 ZİYLAN WATERGARDEN C BLOK ATASEHIR ISTANBUL;40,99793436;29,10033471;AB;91,3379;91,137;D1-A;;durutiyatro;var;https://maps.app.goo.gl/VUH4A5bAr6pH5JT48
949053;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;KADIKÖY;MODERN;34286127Aİ;S3;D3;Presell On İst.Mod Kadıköy Bölgesi;2814;Onur Çakmaz;8224;Tayfun Öncel;;D2;;;Etkinlik Yok;0-499 TL;200-399;Orta;;;;;;PANAN TURİZM İNŞ MEDİCAL İTH İHRC T,C SAN LTD ŞTİ;ROCK ROLL;Modern Pub & Bistro;;40,9889112;29,0247242;AB;91,3291;79,4757;D2-A;;rocknrolla_official;var;https://maps.google.com/?cid=7246054440044575771
100000488;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;KADIKÖY;MODERN;34289486Aİ;S3;D2;Presell On İst.Mod Kadıköy Bölgesi;2814;Onur Çakmaz;8224;Tayfun Öncel;;D1;;;Etkinlik Yok;500-999 TL;100-199;Yüksek;;;;;;MINDFULCAFE RESTAURANT İŞLETMECİLİĞİ TİC.LTD.ŞTİ.;MATHILDAS;Kokteyl Bar;CAFERAĞA MH SAKIZ SK ÖNAL İŞHANI NO 10/B1 Cd.CAFERAĞA MH SAKIZ SK ÖNAL İŞHANI NO 10/B1 Mh. ;40,9882664;29,0267312;AB;91,3251;91,6933;D1-A;;mathildascocktailbar;var;https://maps.google.com/?cid=17415832973659328276
875053;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;KADIKÖY;MODERN;34285864Aİ;S3;D1;Presell On İst.Mod Kadıköy Bölgesi;2814;Onur Çakmaz;8224;Tayfun Öncel;;D2;;;Etkinlik Yok;500-999 TL;200-399;Düşük;;;;;;BASA TIBBI TESISLER TURIZM VE INSAAT TIC.VE SAN.LTD.STI.;THALES;Modern Pub & Bistro;CAFERAĞA MAH.HACI ŞÜKRÜ SOK.NO:7/1   KADIKOY ISTANBUL;40,9868727;29,0275439;AB;91,2981;83,011;D2-A;;thalescafe;var;https://maps.google.com/?cid=12979685696911608320
950821;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;ATAŞEHİR;TRADITIONAL;34392357Aİ;S2;D3;Presell On Asya Kayıkçı İst.Tra Atşhr-Adalar Bölge;2822;Ramazan İlhami Kılınç;8231;Erkan Çoban;;D0;R1;H0;Etkinlik Yok;500-999 TL;200-399;Yüksek;;;;;;KUTLUCAN GIDA VE RESTAURANT HIZ.TIC.LTD.STI.;ADANA OCAKBAŞI ;Kebap;;40,9989172;29,0972357;AB;91,2556;91,1253;R1-A;;adanaocakbasiatasehir;var;https://maps.google.com/?cid=12100227723280811570
955104;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;ÜSKÜDAR;MODERN;34344283Aİ;S5;D4;Presell On İst.Mod Ataşehir Bölgesi;2819;Volkan Barol;8230;Tayfun Öncel;;D2;;;Etkinlik Yok;0-499 TL;200-399;Düşük;;;;;;DUMAN ÖZEL SAĞLIK TESİSLERİ VE TURİZM HİZM.LTD.ŞTİ;THE GALLIARD;Modern Pub & Bistro;ÜNALAN MH.LİBADİYE CD.NO:80/1-229 ÜSKÜDAR ISTANBUL;41,0041616;29,0714556;AB;91,2522;76,3351;D2-A;;thegalliard;var;https://maps.google.com/?cid=11743647259882368201
883629;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;KADIKÖY;MODERN;34288377Aİ;S5;D4;Presell On İst.Mod Caddebostan Bölgesi;2815;Atakan Balcıoğlu ;8226;Tayfun Öncel;;D1;;;Etkinlik Yok;500-999 TL;400+;Düşük;;;;;;BENTO GIDA VE TURZIM HIZ.A.S - SUSHICO;SUSHICO KALAMIS ;Fine Dining (D.Mutf-Şar.Evi);FENERBAHÇE MAH.MÜNİR NURETTİN SELCUK CAD.40/ KADIKOY ISTANBUL;40,9774068;29,040992;A+;91,2304;95,5808;D1-A;;sushicotr;var;https://maps.google.com/?cid=16377287400439216850
867571;Ulusal On-Trade Kanal MD.;Hospitality;İstanbul Anadolu;ÜMRANİYE;MODERN;34334000Aİ;S3;D4;Presell On Hospitality Avrupa2 Kayıkçı Bölgesi;2536;Hospitalty Yedek 1;8072;ST Yöneticisi 7 ;;D1;;;Etkinlik Yok;500-999 TL;400+;Yüksek;;;;;;KÜRE TURIZM SANAYI VE TICARET LTD STI - MİDPOİNT;MIDPOINT BUYAKA;Modern Pub & Bistro;FATİH SULTAN MEHMET MAHALLESİ BALKAN CADDESİ NO:56/A BUYAKA AVM ZEMİN KAT D:99 ÜMRANIYE ISTANBUL;41,0262534;29,1267048;A+;91,2011;94,3468;D1-A;;midpointbistrocafe;var;https://maps.google.com/?cid=17829203596589616081
1000025341;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;KADIKÖY;MODERN;3428010060Aİ;S4;D4;Presell On İst.Mod Caddebostan Bölgesi;2815;Atakan Balcıoğlu ;8226;Tayfun Öncel;;D3;R0;H0;Etkinlik Yok;1.000 -1.999 TL;200-399;Düşük;;;;;;BTK RESTAURANT TİC. VE SAN.LTD.ŞTİ.;ROSSI SUADİYE;Modern Pub & Bistro;SUADİYE MH PLAJ YOLU SK NO 23 ;40,9569801;29,0808007;AB;91,197;63,9354;D3-A;;rossisuadiye;var;https://maps.google.com/?cid=13458513982997971639
705450;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;KADIKÖY;MODERN;3428010174Aİ;S5;D4;Presell On İst.Mod Caddebostan Bölgesi;2815;Atakan Balcıoğlu ;8226;Tayfun Öncel;;D2;;;;;200-399;;;;;;;THE VERTICAL GIDA ÜRÜNLERİ VE TURİMZ A.Ş.;VERTICAL;Modern Pub & Bistro;CADDEBOSTAN MAH. BAĞDAT CAD. NO:319-321-C KADIKÖYİSTANBUL;40,9659792;29,0711118;A+;91,1287;76,1245;D2-A;;circlebyvertical;var;https://maps.google.com/?cid=3417072923488922070
1000012528;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;KADIKÖY;TRADITIONAL;34289474Aİ;S3;D4;Presell On İst.Tra Boğaz-Şile Bölge;2821;Bahadır Kaya;8233;Erkan Çoban;;;R2;;Etkinlik Yok;500-999 TL;0-99;Düşük;;;;;;D.POLAT TİC.İNŞ.LTD.ŞTİ;CİHANGİR OCAKBAŞI;Kebap;KOŞUYOLU MAH KOŞUYOLU CAD NO 45 KADIKÖY ;41,0088673;29,0363931;AB;91,127;75,7374;R2-A;;cihangirocakbasi;var;https://maps.google.com/?cid=5924863124945471069
970666;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;ATAŞEHİR;TRADITIONAL;34392654Aİ;S2;D3;Presell On Asya Kayıkçı İst.Tra Atşhr-Adalar Bölge;2822;Ramazan İlhami Kılınç;8231;Erkan Çoban;;;R1;;Etkinlik Yok;500-999 TL;100-199;Orta;;;;;;ÜSTADLAR KEBAP LOKANTACILIK GIDA TUR.TİC.LTD.ŞTİ.;ÜSTADLAR OCAKBAŞI;Kebap;BARBAROS MH.SÜTÇÜYOLU CD.NO:85/1 ATASEHIR ISTANBUL;40,985171;29,0981252;AB;91,0917;91,7955;R1-A;;ustadlar.ocakbasi;var;https://maps.google.com/?cid=6253203797394903161
