device_aid;avg_SatisHacmi;avg_OrtalamaHarcamaTutari;avg_PopulationInverseScore;avg_QualityScore;total_visits;VenueType_D_rate;VenueType_H_rate;VenueType_R_rate;TimeSlot_Afternoon_rate;TimeSlot_Evening_rate;TimeSlot_Morning_rate;TimeSlot_Night_rate;cluster
00638361-c5d4-40f7-ae8f-8c93db2849a2;1.0;0.6666666666666666;3.5;1.0;3;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2
0065d5c1-1be8-48a0-a5a6-38ab09d3c29a;1.2;1.6;2.6;1.0;5;0.4;0.0;0.6;0.0;0.0;0.4;0.6;6
00697de2-8f69-4032-9f71-d4a83e99104d;-1.0;2.0;3.0;1.0;1;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2
006bf679-2a77-45ad-9f37-023fcb5a74d2;1.5;1.0;1.5;2.0;2;0.0;0.5;0.5;0.0;0.0;1.0;0.0;0
00701e4f-b2a3-49f4-af3b-650cc75d0a75;0.6666666666666666;1.0;2.4;0.2;6;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0
00726d24-1f2d-42f7-a191-b33477c55809;-0.25;2.0;1.25;1.75;4;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0
0078dc11-a21a-4604-b9dd-352d28ab59e5;2.0;2.0;2.0;1.0;1;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1
007c0c49-52b7-47b3-9e9e-e38fa31e0579;2.0;0.0;3.0;2.0;1;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1
007ced6a-43a9-43d5-842e-4623b812545c;2.0;1.0;3.5;0.5;2;0.5;0.0;0.5;0.0;0.0;0.0;1.0;6
007fb023-0c31-4a47-8a55-4839f4985936;0.6666666666666666;1.3333333333333333;2.0;0.3333333333333333;3;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1
0082f7f7-1233-4545-ad27-d90f3241fa8b;-0.0769230769230769;1.4615384615384617;2.571428571428572;0.7692307692307693;13;1.0;0.0;0.0;0.1538461538461538;0.0769230769230769;0.6153846153846154;0.1538461538461538;1
