device_aid,cafe_cluster,ping_cluster,restaurant_cluster,cafe_richness_score,ping_richness_score,restaurant_richness_score,OverallRichnessScore
00c35b35-2a4a-4969-be06-6c83d028819a,6,1,0,17.463155070668606,281.3999559238771,15.44537012874073,60.44372940857275
00c8a08c-2a3a-4476-805e-df5c1645652d,1,1,1,18.15067414434237,281.3999559238771,11.971680791222932,58.936057764371775
00d1525e-9f12-4c98-871c-e45eb23ee20a,3,1,0,24.833384017079982,281.3999559238771,15.44537012874073,62.90047239070987
00d34a36-d823-4a99-9935-16f1acc50141,8,2,2,19.728995826409644,15.53125,12.502815227111812,15.416281222359123
00d9ff4d-04e6-486c-bb3b-49b951530c89,1,1,2,18.15067414434237,281.3999559238771,12.502815227111812,59.20162498231621
0100a000-f544-486c-a9f4-09726abd36bd,8,1,3,19.728995826409644,281.3999559238771,16.279023829441762,61.61583651083694
01078b9e-4050-4690-a2bb-a57e60af1bb4,2,1,0,18.280502475988474,281.3999559238771,15.44537012874073,60.71617854367937
010f0e7f-b163-4ed0-a12e-b121c321e0e8,3,2,2,24.833384017079982,15.53125,12.502815227111812,17.11774395258257
010fd787-c378-6e8f-a4b0-937dd1121082,3,1,2,24.833384017079982,281.3999559238771,12.502815227111812,61.42919493989542
01158e13-1fb3-48a2-abd9-30de7f8cefb0,5,1,3,19.839439396523534,281.3999559238771,16.279023829441762,61.65265103420825
012b4044-1507-45cb-873b-2477c55a4d19,3,1,2,24.833384017079982,281.3999559238771,12.502815227111812,61.42919493989542
012c614d-dd87-4243-a19b-159c94021f53,1,2,1,18.15067414434237,15.53125,11.971680791222932,14.624606777058924
013387d8-a15e-483e-8d6c-5eb073ae901a,9,2,1,17.77219711428424,15.53125,11.971680791222932,14.498447767039545
013397d6-45d1-4d8e-bb82-01987e879ec8,9,2,3,17.77219711428424,15.53125,16.279023829441762,16.65211928614896
0134985b-19b8-4371-bbbc-7b77c59288c3,1,2,1,18.15067414434237,15.53125,11.971680791222932,14.624606777058924
013ef8c6-ae01-6855-a893-5a9c3c38b646,1,1,2,18.15067414434237,281.3999559238771,12.502815227111812,59.20162498231621
0143c2cb-f125-4c58-ad75-938490969529,3,1,2,24.833384017079982,281.3999559238771,12.502815227111812,61.42919493989542
0146dfdf-377c-46d8-b527-3cc4053c2752,4,1,4,20.61108585914832,281.3999559238771,15.247667882027104,61.39418854804251
0148ce5e-161e-455e-a923-ac1a62162047,4,1,1,20.61108585914832,281.3999559238771,11.971680791222932,59.756195002640425
014a660a-238f-4aa3-a670-5c608b3aef5b,3,1,0,24.833384017079982,281.3999559238771,15.44537012874073,62.90047239070987
0151602c-755c-420f-adc7-53406ea129bb,3,2,6,24.833384017079982,15.53125,15.52557479783676,18.62912373794504
0152785b-1beb-4128-b890-6eb15207ef7f,2,2,1,18.280502475988474,15.53125,11.971680791222932,14.667882887607623
0158b6c9-4778-4528-a291-6a06806d30ca,8,1,6,19.728995826409644,281.3999559238771,15.52557479783676,61.23911199503444
0160a8a7-f1db-4d08-aa5d-e80e3a41a3b2,3,1,0,24.833384017079982,281.3999559238771,15.44537012874073,62.90047239070987
016311e6-5be7-446a-ae42-d75939e9c512,2,2,1,18.280502475988474,15.53125,11.971680791222932,14.667882887607623
017834f6-a9ae-4c50-8f57-dc8261302b34,3,1,0,24.833384017079982,281.3999559238771,15.44537012874073,62.90047239070987
