isim;adres;latitude;longitude;google_maps_link
Coffee Kangoo Osmaniye;"İC KAPI; ADNAN MENDERES MAH. ADNAN MENDERES CAD. PARK 328 AVM NO: 14; NO: 23; 80000 Osmaniye Merkez/Osmaniye; Türkiye";'37.0641264;'36.234763;"https://www.google.com/maps?q=37.0641264;36.234763"
Coffee Kangoo Suluova;"Şeker; Millet Cad. No:15/1C; 05500 Suluova/Amasya; Türkiye";'40.828372;'35.646077;"https://www.google.com/maps?q=40.828372;35.646077"
Coffee Kasr-i;"Cumhuriyet; Cumhuriyet Cd. 15 A; 11000 Bilecik Merkez/Bilecik; Türkiye";'40.1445029;'29.9800157;"https://www.google.com/maps?q=40.1445029;29.9800157"
Coffee Kiosk;"Vişnelik; Millet Bahçesi; Taşköprü Cd. No:1 D:4; 26500 Odunpazari/Eskişehir; Türkiye";'39.7708039;'30.5139879;"https://www.google.com/maps?q=39.7708039;30.5139879"
Coffee Lab;"Ehlibeyt; Ceyhun Atuf Kansu Cd. 114/E D:11; 06520 Cankaya/Ankara; Türkiye";'39.892765;'32.816394;"https://www.google.com/maps?q=39.892765;32.816394"
Coffee Lab;"Alaçati; 3000. Sk. No:17; 35930 Ceşme/İzmir; Türkiye";'38.2838929;'26.3759757;"https://www.google.com/maps?q=38.2838929;26.3759757"
Coffee LAB Alaybey;"Tuna; Yali Blv. 140/1; 35580 Karşiyaka/İzmir; Türkiye";'38.456349;'27.1232839;"https://www.google.com/maps?q=38.456349;27.1232839"
Coffee LAB Antares;"Etlik; Ayvali mah; Afra Cd No:1/A; 06010 Keçiören/Ankara; Türkiye";'39.9693488;'32.8198676;"https://www.google.com/maps?q=39.9693488;32.8198676"
Coffee LAB Arasta;"Ahi Evran; Ayaş Cd. No:13 CA; 06935 Sincan/Ankara; Türkiye";'39.9678543;'32.5785422;"https://www.google.com/maps?q=39.9678543;32.5785422"
Coffee LAB Bahçeli 3;"Bahçelievler; Azerbaycan Cd. No:45; 06490 Cankaya/Ankara; Türkiye";'39.9272464;'32.8269033;"https://www.google.com/maps?q=39.9272464;32.8269033"
Coffee LAB Bahçeli 6;"Bahçelievler; 54. cad No:19; 06900 Cankaya/Ankara; Türkiye";'39.9248271;'32.8262456;"https://www.google.com/maps?q=39.9248271;32.8262456"
Coffee LAB Bahçeli 7;"Bahçelievler; Aşkabat Cd. No :45; 06490 Cankaya/Ankara; Türkiye";'39.9194042;'32.8273956;"https://www.google.com/maps?q=39.9194042;32.8273956"
Coffee LAB Bahçeli 71;"Yukari Bahçelievler; 71. Sk. No: 5 İç Kapi No: 1; 06490 Cankaya/Ankara; Türkiye";'39.9212035;'32.8273705;"https://www.google.com/maps?q=39.9212035;32.8273705"
Coffee LAB Bahçeli 72;"Yukari Bahçelievler; 72. Cad No:8A; 06490 Cankaya/Ankara; Türkiye";'39.9202811;'32.8276078;"https://www.google.com/maps?q=39.9202811;32.8276078"
Coffee LAB Batıkent Atlantis AVM;"Kardelen mahallesi başkent bulvari no: 224H; D:143; 06370 Yenimahalle/Ankara; Türkiye";'39.9706867;'32.7147845;"https://www.google.com/maps?q=39.9706867;32.7147845"
Coffee LAB Beşevler;"Bahçelievler; 35. Cadde No:18; 06490 Cankaya/Ankara; Türkiye";'39.9319417;'32.8242503;"https://www.google.com/maps?q=39.9319417;32.8242503"
Coffee LAB Bodrum;"Tepecik; Neyzen Tevfik Cd. NO:52; 48400 Bodrum/Mugla; Türkiye";'37.0363398;'27.4275891;"https://www.google.com/maps?q=37.0363398;27.4275891"
